"sid" "first.saccade.latency" "type" "N"
"06fbf" 0.349243879318237 "data" 79
"06fbf" 0.316497087478638 "data" 79
"06fbf" 0.278776884078979 "data" 79
"06fbf" 0.471467018127441 "data" 79
"06fbf" 0.306697130203247 "data" 79
"06fbf" 0.310809850692749 "data" 79
"06fbf" 0.388633966445923 "data" 79
"06fbf" 0.310063123703003 "data" 79
"06fbf" 0.392344951629639 "data" 79
"06fbf" 0.428694009780884 "data" 79
"06fbf" 0.317753076553345 "data" 79
"06fbf" 0.392192125320435 "data" 79
"06fbf" 0.330479145050049 "data" 79
"06fbf" 0.484148979187012 "data" 79
"06fbf" 0.373529195785522 "data" 79
"06fbf" 0.36145806312561 "data" 79
"06fbf" 0.555745840072632 "data" 79
"06fbf" 0.390146970748901 "data" 79
"06fbf" 0.473795175552368 "data" 79
"06fbf" 0.370502948760986 "data" 79
"06fbf" 0.376070976257324 "data" 79
"06fbf" 0.372133016586304 "data" 79
"06fbf" 0.403423070907593 "data" 79
"06fbf" 0.384460926055908 "data" 79
"06fbf" 0.396780014038086 "data" 79
"06fbf" 0.392169952392578 "data" 79
"06fbf" 0.593378067016602 "data" 79
"06fbf" 0.358155012130737 "data" 79
"06fbf" 0.389621019363403 "data" 79
"06fbf" 0.373549938201904 "data" 79
"06fbf" 0.368482828140259 "data" 79
"06fbf" 0.255584001541138 "data" 79
"06fbf" 0.404515027999878 "data" 79
"06fbf" 0.425815105438232 "data" 79
"06fbf" 0.447205066680908 "data" 79
"06fbf" 0.29432201385498 "data" 79
"06fbf" 0.37136697769165 "data" 79
"06fbf" 0.39121413230896 "data" 79
"06fbf" 0.372150182723999 "data" 79
"06fbf" 0.361745834350586 "data" 79
"06fbf" 0.518621921539307 "data" 79
"06fbf" 0.370779991149902 "data" 79
"06fbf" 0.387281894683838 "data" 79
"06fbf" 0.389655828475952 "data" 79
"06fbf" 0.384863138198853 "data" 79
"06fbf" 0.375168085098267 "data" 79
"06fbf" 0.455172061920166 "data" 79
"06fbf" 0.388980150222778 "data" 79
"06fbf" 0.370581150054932 "data" 79
"06fbf" 0.383455038070679 "data" 79
"06fbf" 0.446426153182983 "data" 79
"06fbf" 0.420850038528442 "data" 79
"06fbf" 0.442126035690308 "data" 79
"06fbf" 0.00742888450622559 "data" 79
"06fbf" 0.370907068252563 "data" 79
"06fbf" 0.337319850921631 "data" 79
"06fbf" 0.469362020492554 "data" 79
"06fbf" 0.370939970016479 "data" 79
"06fbf" 0.39513087272644 "data" 79
"06fbf" 0.406684160232544 "data" 79
"06fbf" 0.423002958297729 "data" 79
"06fbf" 0.324046850204468 "data" 79
"06fbf" 0.391006946563721 "data" 79
"06fbf" 0.50364089012146 "data" 79
"06fbf" 0.414905786514282 "data" 79
"06fbf" 0.444310903549194 "data" 79
"06fbf" 0.336466073989868 "data" 79
"06fbf" 0.403891086578369 "data" 79
"06fbf" 0.345521211624146 "data" 79
"06fbf" 0.174201011657715 "data" 79
"06fbf" 0.427020788192749 "data" 79
"06fbf" 0.388471126556396 "data" 79
"06fbf" 0.304600954055786 "data" 79
"06fbf" 0.444900035858154 "data" 79
"06fbf" 0.373326778411865 "data" 79
"06fbf" 0.463916063308716 "data" 79
"06fbf" 0.338064908981323 "data" 79
"06fbf" 0.38072681427002 "data" 79
"06fbf" 0.416589975357056 "data" 79
"06fbf" 0.347130943032161 "model-lat" 79
"06fbf" 0.355190431370723 "model-lat" 79
"06fbf" 0.459510354200023 "model-lat" 79
"06fbf" 0.431770567565877 "model-lat" 79
"06fbf" 0.401898565369054 "model-lat" 79
