"sid" "alpha" "timer_states" "timer_mean" "labile_mean" "attn_mean" "gap_timer_rate" "cue_timer_rate" "lat_mean_anti" "amp_mean_anti" "rsp_mean_anti" "class"
"06fbf" 0.75 60 0.25 0.119999997317791 0.150000005960464 1.5 0.75 0.0869999974966049 0.84799998998642 0.667999982833862 4
"1f330" 0.75 20 0.300000011920929 0.0799999982118607 0.150000005960464 0.25 1.5 0.061999998986721 0.944000005722046 0.356000006198883 2
"31fc9" 0.75 80 0.200000002980232 0.159999996423721 0.0500000007450581 1.5 0.75 0.0439999997615814 0.921999990940094 0.791999995708466 1
"3d5bd" 0.75 20 0.25 0.0799999982118607 0.150000005960464 0.25 1 0.0689999982714653 0.991999983787537 0.416000008583069 2
"427fc" 0.75 20 0.200000002980232 0.159999996423721 0.0500000007450581 0.5 1.5 0.0599999986588955 0.906000018119812 0.667999982833862 2
"547cb" 0.75 60 0.224999994039536 0.140000000596046 0.0500000007450581 1 1.5 0.0860000029206276 0.961000025272369 0.667999982833862 4
"57548" 0.75 80 0.224999994039536 0.140000000596046 0.100000001490116 1.75 0.75 0.0590000003576279 0.982999980449677 0.632000029087067 1
"7a44c" 0.75 100 0.25 0.100000001490116 0.0500000007450581 1.75 0.75 0.0839999988675117 0.828999996185303 0.952000021934509 1
"a314d" 0.75 20 0.275000005960464 0.200000002980232 0.0500000007450581 1.5 1.5 0.061999998986721 0.904999971389771 0.88400000333786 2
"a9e6e" 0.75 100 0.200000002980232 0.159999996423721 0.100000001490116 0.25 0.75 0.0529999993741512 0.915000021457672 0.560000002384186 1
"b422c" 0.75 80 0.200000002980232 0.140000000596046 0.100000001490116 1.5 0.75 0.063000001013279 0.929000020027161 0.467999994754791 1
"b4a6f" 0.75 60 0.275000005960464 0.180000007152557 0.0500000007450581 1.25 1 0.0570000000298023 0.76800000667572 0.84799998998642 4
"d17cc" 0.75 60 0.224999994039536 0.180000007152557 0.0500000007450581 1.75 0.75 0.0469999983906746 0.88400000333786 0.867999970912933 4
"d4912" 0.75 20 0.300000011920929 0.140000000596046 0.100000001490116 0.5 1.75 0.0710000023245811 0.904999971389771 0.439999997615814 2
"e1070" 0.75 100 0.300000011920929 0.239999994635582 0.0500000007450581 0.5 1.5 0.0729999989271164 0.842000007629395 0.783999979496002 1
