"sid" "alpha" "timer_states" "timer_mean" "labile_mean" "attn_mean" "gap_timer_rate" "cue_timer_rate" "lat_mean_anti" "amp_mean_anti" "rsp_mean_anti" "class" "rsp"
"06fbf" 0.75 60 0.275000005960464 0.180000007152557 0.100000001490116 1 1.25 0.0939999967813492 0.84799998998642 0.607999980449677 4 0.376190476190476
"1f330" 0.75 100 0.224999994039536 0.159999996423721 0.0500000007450581 0.25 1 0.090999998152256 0.967000007629395 0.779999971389771 1 0.783549783549784
"31fc9" 0.75 20 0.300000011920929 0.119999997317791 0.100000001490116 0.75 1.25 0.0829999968409538 0.921999990940094 0.547999978065491 2 0.546610169491525
"3d5bd" 0.75 80 0.275000005960464 0.0799999982118607 0.150000005960464 1.5 1 0.096000000834465 0.991999983787537 0.53600001335144 1 0.534188034188034
"427fc" 0.75 40 0.174999997019768 0.100000001490116 0.100000001490116 1.75 0.5 0.0750000029802322 0.919000029563904 0.519999980926514 3 0.535714285714286
"547cb" 0.75 100 0.150000005960464 0.0799999982118607 0.100000001490116 1.25 0.75 0.0879999995231628 0.961000025272369 0.448000013828278 1 0.481132075471698
"57548" 0.75 60 0.25 0.140000000596046 0.100000001490116 1.75 1 0.0900000035762787 0.982999980449677 0.688000023365021 4 0.682352941176471
"7a44c" 0.75 80 0.150000005960464 0.119999997317791 0.0500000007450581 1.5 0.75 0.0989999994635582 0.823000013828278 0.660000026226044 1 0.360189573459716
"a314d" 0.75 40 0.25 0.159999996423721 0.100000001490116 0.25 1 0.0719999969005585 0.919000029563904 0.611999988555908 3 0.610859728506787
"a9e6e" 0.75 100 0.25 0.100000001490116 0.150000005960464 1.5 0.75 0.0750000029802322 0.915000021457672 0.635999977588654 1 0.63963963963964
"b422c" 0.75 20 0.25 0.180000007152557 0.0500000007450581 0.75 1.75 0.0839999988675117 0.917999982833862 0.727999985218048 2 0.727272727272727
"b4a6f" 0.75 20 0.150000005960464 0.0799999982118607 0.200000002980232 0.25 0.5 0.0810000002384186 0.737999975681305 0.272000014781952 2 0.271844660194175
"d17cc" 0.75 20 0.275000005960464 0.200000002980232 0.0500000007450581 1 1.75 0.0989999994635582 0.879999995231628 0.695999979972839 2 0.696428571428571
"d4912" 0.75 60 0.150000005960464 0.119999997317791 0.100000001490116 1.5 0.75 0.0710000023245811 0.889999985694885 0.540000021457672 4 0.529411764705882
"e1070" 0.75 80 0.174999997019768 0.159999996423721 0.100000001490116 0.5 1.75 0.0970000028610229 0.825999975204468 0.247999995946884 1 0.246753246753247
