"variable" "component" "type" "value" "sigma" "id" ".min" ".max" "low" "high"
"cue_cancel_prob" 1 "anti" 0.740359903713614 0.979798296872814 "anti1" 0 1 0 1
"cue_cancel_prob" 1 "pro" 0.854368937140843 1.42833874885411 "pro1" 0 1 0 1
"cue_cancel_prob" 2 "anti" 0.73632959452858 0.348190574177591 "anti2" 0 1 0.388139020350989 1
"cue_cancel_prob" 2 "pro" 0.775531921377207 0.323224567149547 "pro2" 0 1 0.45230735422766 1
"cue_cancel_prob" 3 "anti" 0.731175475419075 0.360245262922812 "anti3" 0 1 0.370930212496264 1
"cue_cancel_prob" 3 "pro" 0.810169497788963 0.258048391137951 "pro3" 0 1 0.552121106651012 1
"cue_cancel_prob" 4 "anti" 0.72484277418387 0.334862910982637 "anti4" 0 1 0.389979863201233 1
"cue_cancel_prob" 4 "pro" 0.835668795849922 0.222563822881783 "pro4" 0 1 0.613104972968139 1
"cue_timer_rate" 1 "anti" 1.30237788829953 1.83293973291777 "anti1" 0.25 1.75 0.25 1.75
"cue_timer_rate" 1 "pro" 1.56310679610975 1.33904933832564 "pro1" 0.25 1.75 0.25 1.75
"cue_timer_rate" 2 "anti" 1.29400749600065 0.412597488325217 "anti2" 0.25 1.75 0.88141000767543 1.70660498432586
"cue_timer_rate" 2 "pro" 1.58909574468085 0.190985904806454 "pro2" 0.25 1.75 1.3981098398744 1.75
"cue_timer_rate" 3 "anti" 1.31090289608177 0.410672681506589 "anti3" 0.25 1.75 0.900230214575182 1.72157557758836
"cue_timer_rate" 3 "pro" 1.54802259887006 0.217698186618765 "pro3" 0.25 1.75 1.33032441225129 1.75
"cue_timer_rate" 4 "anti" 1.33962264150943 0.380239541375368 "anti4" 0.25 1.75 0.959383100134066 1.7198621828848
"cue_timer_rate" 4 "pro" 1.55573248408458 0.203853473223065 "pro4" 0.25 1.75 1.35187901086152 1.75
"gap_cancel_prob" 1 "anti" 0.61002571501495 1.59402285026208 "anti1" 0 1 0 1
"gap_cancel_prob" 1 "pro" 0.623300978280053 2.36048950832834 "pro1" 0 1 0 1
"gap_cancel_prob" 2 "anti" 0.613857685968043 0.276759468636934 "anti2" 0 1 0.337098217331109 0.890617154604977
"gap_cancel_prob" 2 "pro" 0.577659581886961 0.294356654741394 "pro2" 0 1 0.283302927145567 0.872016236628355
"gap_cancel_prob" 3 "anti" 0.650766618207122 0.266009133970552 "anti3" 0 1 0.384757484236571 0.916775752177674
"gap_cancel_prob" 3 "pro" 0.629378539694231 0.627185760395148 "pro3" 0 1 0.00219277929908279 1
"gap_cancel_prob" 4 "anti" 0.65031447348261 0.270695614294828 "anti4" 0 1 0.379618859187782 0.921010087777438
"gap_cancel_prob" 4 "pro" 0.563057332467039 0.601615143238797 "pro4" 0 1 0 1
"gap_timer_rate" 1 "anti" 0.801092544887151 2.40003991281679 "anti1" 0.25 1.75 0.25 1.75
"gap_timer_rate" 1 "pro" 0.399271844651803 1.41619010476892 "pro1" 0.25 1.75 0.25 1.75
"gap_timer_rate" 2 "anti" 0.794943820317278 0.750886239867022 "anti2" 0.25 1.75 0.25 1.5458300601843
"gap_timer_rate" 2 "pro" 0.460106382978723 0.598590970784008 "pro2" 0.25 1.75 0.25 1.05869735376273
"gap_timer_rate" 3 "anti" 0.746166950596252 0.755390469448835 "anti3" 0.25 1.75 0.25 1.50155742004509
"gap_timer_rate" 3 "pro" 0.415254237288136 0.228086059772763 "pro3" 0.25 1.75 0.25 0.643340297060898
"gap_timer_rate" 4 "anti" 0.793632075471698 0.775792048933066 "anti4" 0.25 1.75 0.25 1.56942412440476
"gap_timer_rate" 4 "pro" 0.42038216561815 0.225873046168196 "pro4" 0.25 1.75 0.25 0.646255211786347
"labile_mean" 1 "anti" 0.184730078198109 0.120204048751039 "anti1" 0.0799999982118607 0.259999990463257 0.0799999982118607 0.259999990463257
"labile_mean" 1 "pro" 0.161456311031797 0.0491451299703175 "pro1" 0.0799999982118607 0.259999990463257 0.112311181061479 0.210601441002114
"labile_mean" 2 "anti" 0.193782772491526 0.0381687925757419 "anti2" 0.0799999982118607 0.259999990463257 0.155613979915784 0.231951565067267
"labile_mean" 2 "pro" 0.168191491130819 0.0153350576407147 "pro2" 0.0799999982118607 0.259999990463257 0.152856433490104 0.183526548771533
"labile_mean" 3 "anti" 0.197308347657247 0.0374707245968304 "anti3" 0.0799999982118607 0.259999990463257 0.159837623060416 0.234779072254077
"labile_mean" 3 "pro" 0.169604521518373 0.013218570126768 "pro3" 0.0799999982118607 0.259999990463257 0.156385951391605 0.182823091645141
"labile_mean" 4 "anti" 0.203144653694435 0.0376258197064767 "anti4" 0.0799999982118607 0.259999990463257 0.165518833987958 0.240770473400911
"labile_mean" 4 "pro" 0.165095542266391 0.01169452313028 "pro4" 0.0799999982118607 0.259999990463257 0.153401019136111 0.176790065396671
"timer_mean" 1 "anti" 0.2666131153696 0.160304198205933 "anti1" 0.150000005960464 0.300000011920929 0.150000005960464 0.300000011920929
"timer_mean" 1 "pro" 0.237742719067311 0.0985785927773664 "pro1" 0.150000005960464 0.300000011920929 0.150000005960464 0.300000011920929
"timer_mean" 2 "anti" 0.270926972815467 0.0283224321712708 "anti2" 0.150000005960464 0.300000011920929 0.242604540644196 0.299249404986737
"timer_mean" 2 "pro" 0.222340425674586 0.0281925608042049 "pro2" 0.150000005960464 0.300000011920929 0.194147864870381 0.25053298647879
"timer_mean" 3 "anti" 0.271976155941287 0.0302896122011715 "anti3" 0.150000005960464 0.300000011920929 0.241686543740116 0.300000011920929
"timer_mean" 3 "pro" 0.226271186844777 0.0295387120611177 "pro3" 0.150000005960464 0.300000011920929 0.19673247478366 0.255809898905895
"timer_mean" 4 "anti" 0.270990571604585 0.0266702868763262 "anti4" 0.150000005960464 0.300000011920929 0.244320284728259 0.297660858480911
"timer_mean" 4 "pro" 0.230254776919288 0.0258213863371695 "pro4" 0.150000005960464 0.300000011920929 0.204433390582119 0.256076163256457
"timer_states" 1 "anti" 33.1362469459588 6.23117186559466 "anti1" 20 100 26.9050750803641 39.3674188115535
"timer_states" 1 "pro" 32.4271844680549 5.82444692031521 "pro1" 20 100 26.6027375477397 38.2516313883701
"timer_states" 2 "anti" 60.0000000000001 0.00173296799910748 "anti2" 20 100 59.9982670320009 60.0017329679992
"timer_states" 2 "pro" 80 0.000609842992916516 "pro2" 20 100 79.9993901570071 80.0006098429929
"timer_states" 3 "anti" 80 0.00174034261663559 "anti3" 20 100 79.9982596573834 80.0017403426166
"timer_states" 3 "pro" 100 0.000595904789893274 "pro3" 20 100 99.9994040952101 100
"timer_states" 4 "anti" 100 0.00173279488476413 "anti4" 20 100 99.9982672051152 100
"timer_states" 4 "pro" 60 0.000565594556930232 "pro4" 20 100 59.9994344054431 60.0005655945569
